"id";"region_id";"country_id";"state_id";"city_id";"zip";"street_name";"latitude";"longitude";"created_at";"updated_at"
1;9;14;13;17;9499;"1630 Hidden Meadowview Lane";3.0;3.0;"1970-01-04";"2013-04-16"
2;4;20;3;18;3664;"754 New Social Pkwy";85.0;-73.0;"1972-10-30";"2002-09-02"
3;7;1;18;7;2856;"336 Highland Lane";73.0;73.0;"1970-01-08";"1983-01-15"
4;8;18;2;5;5763;"66 North Beachwood Street";55.0;11.0;"2015-12-22";"1979-04-24"
5;7;14;20;11;2810;"1795 Riddle Hill Pkwy";33.0;90.0;"2013-11-28";"2005-09-01"
6;6;14;16;18;2591;"3429 Farmview Lane";62.0;-42.0;"1986-10-06";"2019-09-02"
7;5;3;10;1;7091;"3040 South Sharp Hill Lane";67.0;146.0;"1994-11-08";"1996-04-25"
8;9;9;8;3;5324;"390 Hidden Hazelwood Parkway";-35.0;61.0;"2012-11-05";"2019-01-16"
9;3;12;9;2;4958;"3225 East Riverview Ave";-1.0;97.0;"2006-12-16";"1976-08-17"
10;1;20;7;1;4842;"19 White Rock Hill Street";-63.0;-159.0;"2021-01-30";"2015-02-02"
11;6;8;9;14;3399;"30 South Farmview Rd";-6.0;-6.0;"1971-10-01";"1970-01-07"
12;3;4;3;17;1408;"895 West Rock Hill Parkway";52.0;-114.0;"1979-04-23";"2006-05-24"
13;4;1;7;8;8582;"3269 West Beachwood Road";44.0;44.0;"1980-08-27";"2004-05-18"
14;8;17;1;1;3674;"807 Riddle Hill Blvd";-86.0;21.0;"1970-03-07";"1979-09-19"
15;1;19;20;2;2272;"82 South Parkwood Ct";4.0;135.0;"1971-02-19";"1971-04-19"
16;1;13;9;13;4263;"1816 N Highland Lane";65.0;148.0;"1986-08-08";"1981-01-11"
17;7;6;2;5;1944;"3324 New Church Avenue";-4.0;-4.0;"1970-01-25";"1993-04-05"
18;5;8;14;4;3453;"3630 Woodrow Ct";-5.0;-30.0;"2000-08-14";"1979-12-11"
19;5;3;19;3;7748;"19 Town Blvd";82.0;15.0;"1984-11-18";"1971-07-24"
20;9;13;4;3;7961;"602 Brentwood Hwy";71.0;-170.0;"1979-06-16";"1996-10-01"
