"id";"feature_name";"description"
1;" 	Wifi";"Dolor sed. Sed iste."
2;"Kitchen";"Omnis delectus sunt non."
3;"Washer";"Enim reprehenderit."
4;"Dryer";"Doloribus at. Iste unde;"
5;"Air conditioning";"Est ipsa; suscipit voluptas."
6;"Heating";"Rem omnis. Ipsa rerum."
7;"Dedicated workspace";"Illo sunt labore..."
8;" 	TV";"Eum dolorem. Voluptatum unde."
9;"Hair dryer";"Doloribus et in. Eum nisi."
10;" 	Iron";"Facilis quam. Sed sint est."
11;"Pool";"Eos dicta; error nostrum."
12;"Hot tub";"Ut dolorem. Amet aut."
13;"Gym";"Harum exercitationem sit;"
14;"BBQ grill";"Laboriosam sint."
15;"Indoor fireplace";"Sit dolorem omnis repudiandae."
16;"Smoking allowed";"Architecto consectetur aut."
17;"Beachfront";"Ut facilis sed quia."
18;"Waterfront";"Quos deserunt. Deserunt."
19;"Smoke alarm";"Fuga consequatur aut quam."
20;"Carbon monoxide alarm";"Asperiores numquam. Quasi."
